scoring,source,season,last_updated,ranking,player,position,position_rank,team,bye,tier,rank_best,rank_worst,rank_average,rank_stddev,adp_rank,player_id,fantasypros_url
half-ppr,FantasyPros ECR,2026,8/13,1,Jahmyr Gibbs,RB,RB1,DET,6,1,1,5,1.81,0.81,1,22968,https://www.fantasypros.com/nfl/players/jahmyr-gibbs.php
half-ppr,FantasyPros ECR,2026,8/13,2,Bijan Robinson,RB,RB2,ATL,11,1,1,5,2.13,0.94,2,23133,https://www.fantasypros.com/nfl/players/bijan-robinson.php
half-ppr,FantasyPros ECR,2026,8/13,3,Ja'Marr Chase,WR,WR1,CIN,6,1,1,4,2.67,1.07,3,19788,https://www.fantasypros.com/nfl/players/jamarr-chase.php
half-ppr,FantasyPros ECR,2026,8/13,4,Puka Nacua,WR,WR2,LAR,11,1,1,9,4.01,1.35,4,23180,https://www.fantasypros.com/nfl/players/puka-nacua.php
half-ppr,FantasyPros ECR,2026,8/13,5,Jaxon Smith-Njigba,WR,WR3,SEA,11,1,2,11,5.90,1.37,6,23070,https://www.fantasypros.com/nfl/players/jaxon-smith-njigba.php
half-ppr,FantasyPros ECR,2026,8/13,6,Amon-Ra St. Brown,WR,WR4,DET,6,1,5,11,6.75,1.12,8,19799,https://www.fantasypros.com/nfl/players/amonra-stbrown.php
half-ppr,FantasyPros ECR,2026,8/13,7,Christian McCaffrey,RB,RB3,SF,8,1,2,20,7.71,3.80,5,16393,https://www.fantasypros.com/nfl/players/christian-mccaffrey.php
half-ppr,FantasyPros ECR,2026,8/13,8,Jonathan Taylor,RB,RB4,IND,13,1,5,21,9.24,2.95,7,19217,https://www.fantasypros.com/nfl/players/jonathan-taylor.php
half-ppr,FantasyPros ECR,2026,8/13,9,CeeDee Lamb,WR,WR5,DAL,14,2,7,22,9.87,2.65,12,19202,https://www.fantasypros.com/nfl/players/ceedee-lamb.php
half-ppr,FantasyPros ECR,2026,8/13,10,Justin Jefferson,WR,WR6,MIN,6,2,6,30,11.15,4.25,10,19236,https://www.fantasypros.com/nfl/players/justin-jefferson.php
half-ppr,FantasyPros ECR,2026,8/13,11,James Cook III,RB,RB5,BUF,7,2,5,30,11.20,3.97,9,22958,https://www.fantasypros.com/nfl/players/james-cook.php
half-ppr,FantasyPros ECR,2026,8/13,12,Ashton Jeanty,RB,RB6,LV,13,2,7,37,14.50,5.06,11,25989,https://www.fantasypros.com/nfl/players/ashton-jeanty.php
half-ppr,FantasyPros ECR,2026,8/13,13,Drake London,WR,WR7,ATL,11,2,8,32,15.27,4.55,17,23163,https://www.fantasypros.com/nfl/players/drake-london.php
half-ppr,FantasyPros ECR,2026,8/13,14,Chase Brown,RB,RB7,CIN,6,2,9,42,16.99,5.57,15,25324,https://www.fantasypros.com/nfl/players/chase-brown.php
half-ppr,FantasyPros ECR,2026,8/13,15,A.J. Brown,WR,WR8,NE,11,2,8,35,17.51,6.27,23,18218,https://www.fantasypros.com/nfl/players/aj-brown.php
half-ppr,FantasyPros ECR,2026,8/13,16,Saquon Barkley,RB,RB8,PHI,10,2,10,39,18.51,6.31,14,17240,https://www.fantasypros.com/nfl/players/saquon-barkley.php
half-ppr,FantasyPros ECR,2026,8/13,17,Brock Bowers,TE,TE1,LV,13,2,11,34,18.62,4.08,20,22955,https://www.fantasypros.com/nfl/players/brock-bowers.php
half-ppr,FantasyPros ECR,2026,8/13,18,De'Von Achane,RB,RB9,MIA,6,2,9,45,18.74,6.14,13,23136,https://www.fantasypros.com/nfl/players/devon-achane.php
half-ppr,FantasyPros ECR,2026,8/13,19,Omarion Hampton,RB,RB10,LAC,7,2,10,50,19.89,6.49,16,25395,https://www.fantasypros.com/nfl/players/omarion-hampton.php
half-ppr,FantasyPros ECR,2026,8/13,20,Nico Collins,WR,WR9,HOU,8,2,11,39,20.07,4.90,24,20130,https://www.fantasypros.com/nfl/players/nico-collins.php
half-ppr,FantasyPros ECR,2026,8/13,21,Derrick Henry,RB,RB11,BAL,13,3,12,46,22.46,7.09,22,15514,https://www.fantasypros.com/nfl/players/derrick-henry.php
half-ppr,FantasyPros ECR,2026,8/13,22,George Pickens,WR,WR10,DAL,14,3,11,48,22.86,5.94,25,22963,https://www.fantasypros.com/nfl/players/george-pickens.php
half-ppr,FantasyPros ECR,2026,8/13,23,Kenneth Walker III,RB,RB12,KC,5,3,10,88,23.98,11.52,18,23021,https://www.fantasypros.com/nfl/players/kenneth-walker-rb.php
half-ppr,FantasyPros ECR,2026,8/13,24,Trey McBride,TE,TE2,ARI,14,3,12,60,23.99,6.76,19,22936,https://www.fantasypros.com/nfl/players/trey-mcbride.php
half-ppr,FantasyPros ECR,2026,8/13,25,Chris Olave,WR,WR11,NO,8,3,18,45,26.94,5.80,28,20111,https://www.fantasypros.com/nfl/players/chris-olave.php
half-ppr,FantasyPros ECR,2026,8/13,26,Rashee Rice,WR,WR12,KC,5,3,8,71,27.69,9.75,29,23113,https://www.fantasypros.com/nfl/players/rashee-rice.php
half-ppr,FantasyPros ECR,2026,8/13,27,Josh Allen,QB,QB1,BUF,7,3,20,43,27.93,5.08,21,17298,https://www.fantasypros.com/nfl/players/josh-allen-qb.php
half-ppr,FantasyPros ECR,2026,8/13,28,DeVonta Smith,WR,WR13,PHI,10,3,14,48,30.50,7.15,34,19222,https://www.fantasypros.com/nfl/players/devonta-smith.php
half-ppr,FantasyPros ECR,2026,8/13,29,Malik Nabers,WR,WR14,NYG,8,3,11,83,32.70,12.56,32,25409,https://www.fantasypros.com/nfl/players/malik-nabers.php
half-ppr,FantasyPros ECR,2026,8/13,30,Zay Flowers,WR,WR15,BAL,13,3,18,55,32.76,7.29,38,22916,https://www.fantasypros.com/nfl/players/zay-flowers.php
half-ppr,FantasyPros ECR,2026,8/13,31,Kyren Williams,RB,RB13,LAR,11,3,15,55,35.44,7.93,30,23059,https://www.fantasypros.com/nfl/players/kyren-williams.php
half-ppr,FantasyPros ECR,2026,8/13,32,Tee Higgins,WR,WR16,CIN,6,3,21,54,35.64,6.43,37,19211,https://www.fantasypros.com/nfl/players/tee-higgins.php
half-ppr,FantasyPros ECR,2026,8/13,33,Tetairoa McMillan,WR,WR17,CAR,5,3,17,65,36.86,7.89,39,25417,https://www.fantasypros.com/nfl/players/tetairoa-mcmillan.php
half-ppr,FantasyPros ECR,2026,8/13,34,Emeka Egbuka,WR,WR18,TB,10,4,15,63,37.58,8.30,40,23062,https://www.fantasypros.com/nfl/players/emeka-egbuka.php
half-ppr,FantasyPros ECR,2026,8/13,35,Lamar Jackson,QB,QB2,BAL,13,4,24,64,37.64,11.41,36,17233,https://www.fantasypros.com/nfl/players/lamar-jackson.php
half-ppr,FantasyPros ECR,2026,8/13,36,Jeremiyah Love,RB,RB14,ARI,14,4,23,181,37.73,17.82,26,25403,https://www.fantasypros.com/nfl/players/jeremiyah-love.php
half-ppr,FantasyPros ECR,2026,8/13,37,Breece Hall,RB,RB15,NYJ,13,4,24,63,38.46,7.62,33,22982,https://www.fantasypros.com/nfl/players/breece-hall.php
half-ppr,FantasyPros ECR,2026,8/13,38,Josh Jacobs,RB,RB16,GB,11,4,20,86,38.62,9.73,27,18269,https://www.fantasypros.com/nfl/players/josh-jacobs.php
half-ppr,FantasyPros ECR,2026,8/13,39,Ladd McConkey,WR,WR19,LAC,7,4,20,58,39.04,6.63,45,26122,https://www.fantasypros.com/nfl/players/ladd-mcconkey.php
half-ppr,FantasyPros ECR,2026,8/13,40,Javonte Williams,RB,RB17,DAL,14,4,18,55,39.67,8.24,31,22739,https://www.fantasypros.com/nfl/players/javonte-williams.php
half-ppr,FantasyPros ECR,2026,8/13,41,Garrett Wilson,WR,WR20,NYJ,13,4,26,63,39.69,7.45,42,23072,https://www.fantasypros.com/nfl/players/garrett-wilson.php
half-ppr,FantasyPros ECR,2026,8/13,42,Colston Loveland,TE,TE3,CHI,10,4,25,84,40.20,12.06,41,26006,https://www.fantasypros.com/nfl/players/colston-loveland.php
half-ppr,FantasyPros ECR,2026,8/13,43,Jaylen Waddle,WR,WR21,DEN,10,4,25,61,41.24,8.29,47,19790,https://www.fantasypros.com/nfl/players/jaylen-waddle.php
half-ppr,FantasyPros ECR,2026,8/13,44,Drake Maye,QB,QB3,NE,11,4,26,95,43.57,15.48,55,23046,https://www.fantasypros.com/nfl/players/drake-maye.php
half-ppr,FantasyPros ECR,2026,8/13,45,Terry McLaurin,WR,WR22,WAS,7,4,29,74,46.67,8.04,54,18466,https://www.fantasypros.com/nfl/players/terry-mclaurin.php
half-ppr,FantasyPros ECR,2026,8/13,46,Travis Etienne Jr.,RB,RB18,NO,8,4,32,67,49.33,8.05,43,19231,https://www.fantasypros.com/nfl/players/travis-etienne.php
half-ppr,FantasyPros ECR,2026,8/13,47,Davante Adams,WR,WR23,LAR,11,4,35,80,49.68,8.39,58,12123,https://www.fantasypros.com/nfl/players/davante-adams.php
half-ppr,FantasyPros ECR,2026,8/13,48,Luther Burden III,WR,WR24,CHI,10,4,36,107,49.93,10.02,48,27016,https://www.fantasypros.com/nfl/players/luther-burden-iii.php
half-ppr,FantasyPros ECR,2026,8/13,49,Joe Burrow,QB,QB4,CIN,6,4,27,92,50.04,13.85,49,19196,https://www.fantasypros.com/nfl/players/joe-burrow.php
half-ppr,FantasyPros ECR,2026,8/13,50,Cam Skattebo,RB,RB19,NYG,8,4,35,85,52.07,8.74,35,27166,https://www.fantasypros.com/nfl/players/cam-skattebo.php
half-ppr,FantasyPros ECR,2026,8/13,51,Bucky Irving,RB,RB20,TB,10,4,24,72,53.93,7.99,44,25981,https://www.fantasypros.com/nfl/players/bucky-irving.php
half-ppr,FantasyPros ECR,2026,8/13,52,Tyler Warren,TE,TE4,IND,13,4,24,84,54.55,11.45,52,26434,https://www.fantasypros.com/nfl/players/tyler-warren.php
half-ppr,FantasyPros ECR,2026,8/13,53,D'Andre Swift,RB,RB21,CHI,10,4,38,71,54.64,7.06,56,19210,https://www.fantasypros.com/nfl/players/dandre-swift.php
half-ppr,FantasyPros ECR,2026,8/13,54,Jayden Daniels,QB,QB5,WAS,7,4,27,91,54.67,13.99,60,22902,https://www.fantasypros.com/nfl/players/jayden-daniels.php
half-ppr,FantasyPros ECR,2026,8/13,55,Jameson Williams,WR,WR25,DET,6,4,39,93,55.43,11.04,59,23677,https://www.fantasypros.com/nfl/players/jameson-williams.php
half-ppr,FantasyPros ECR,2026,8/13,56,Quinshon Judkins,RB,RB22,CLE,11,4,37,76,55.44,8.00,46,25391,https://www.fantasypros.com/nfl/players/quinshon-judkins.php
half-ppr,FantasyPros ECR,2026,8/13,57,Christian Watson,WR,WR26,GB,11,4,38,109,56.00,12.06,65,23886,https://www.fantasypros.com/nfl/players/christian-watson.php
half-ppr,FantasyPros ECR,2026,8/13,58,David Montgomery,RB,RB23,HOU,8,4,37,98,56.39,8.90,53,18239,https://www.fantasypros.com/nfl/players/david-montgomery.php
half-ppr,FantasyPros ECR,2026,8/13,59,Mike Evans,WR,WR27,SF,8,4,37,197,56.77,17.99,62,12119,https://www.fantasypros.com/nfl/players/mike-evans.php
half-ppr,FantasyPros ECR,2026,8/13,60,DJ Moore,WR,WR28,BUF,7,5,33,114,58.58,12.97,51,17265,https://www.fantasypros.com/nfl/players/dj-moore-wr.php
half-ppr,FantasyPros ECR,2026,8/13,61,Jalen Hurts,QB,QB6,PHI,10,5,25,85,59.54,11.66,63,19275,https://www.fantasypros.com/nfl/players/jalen-hurts.php
half-ppr,FantasyPros ECR,2026,8/13,62,Rome Odunze,WR,WR29,CHI,10,5,44,81,60.01,8.88,64,25411,https://www.fantasypros.com/nfl/players/rome-odunze.php
half-ppr,FantasyPros ECR,2026,8/13,63,TreVeyon Henderson,RB,RB24,NE,11,5,37,120,60.21,10.85,50,23065,https://www.fantasypros.com/nfl/players/treveyon-henderson.php
half-ppr,FantasyPros ECR,2026,8/13,64,Bhayshul Tuten,RB,RB25,JAC,7,5,46,92,63.88,10.59,57,27297,https://www.fantasypros.com/nfl/players/bhayshul-tuten.php
half-ppr,FantasyPros ECR,2026,8/13,65,Tucker Kraft,TE,TE5,GB,11,5,34,96,68.37,11.09,66,25298,https://www.fantasypros.com/nfl/players/tucker-kraft.php
