scoring,source,season,last_updated,ranking,player,position,position_rank,team,bye,tier,rank_best,rank_worst,rank_average,rank_stddev,adp_rank,player_id,fantasypros_url
ppr,FantasyPros ECR,2026,8/13,1,Ja'Marr Chase,WR,WR1,CIN,6,1,1,4,1.73,0.98,3,19788,https://www.fantasypros.com/nfl/players/jamarr-chase.php
ppr,FantasyPros ECR,2026,8/13,2,Puka Nacua,WR,WR2,LAR,11,1,1,8,3.02,1.20,4,23180,https://www.fantasypros.com/nfl/players/puka-nacua.php
ppr,FantasyPros ECR,2026,8/13,3,Jahmyr Gibbs,RB,RB1,DET,6,1,1,7,3.10,1.68,1,22968,https://www.fantasypros.com/nfl/players/jahmyr-gibbs.php
ppr,FantasyPros ECR,2026,8/13,4,Bijan Robinson,RB,RB2,ATL,11,1,1,7,3.44,1.59,2,23133,https://www.fantasypros.com/nfl/players/bijan-robinson.php
ppr,FantasyPros ECR,2026,8/13,5,Jaxon Smith-Njigba,WR,WR3,SEA,11,1,1,8,4.62,1.26,6,23070,https://www.fantasypros.com/nfl/players/jaxon-smith-njigba.php
ppr,FantasyPros ECR,2026,8/13,6,Amon-Ra St. Brown,WR,WR4,DET,6,1,4,9,5.70,1.29,8,19799,https://www.fantasypros.com/nfl/players/amonra-stbrown.php
ppr,FantasyPros ECR,2026,8/13,7,CeeDee Lamb,WR,WR5,DAL,14,2,6,16,8.63,1.65,12,19202,https://www.fantasypros.com/nfl/players/ceedee-lamb.php
ppr,FantasyPros ECR,2026,8/13,8,Christian McCaffrey,RB,RB3,SF,8,2,2,31,8.93,4.63,5,16393,https://www.fantasypros.com/nfl/players/christian-mccaffrey.php
ppr,FantasyPros ECR,2026,8/13,9,Justin Jefferson,WR,WR6,MIN,6,2,6,20,9.71,2.67,13,19236,https://www.fantasypros.com/nfl/players/justin-jefferson.php
ppr,FantasyPros ECR,2026,8/13,10,Jonathan Taylor,RB,RB4,IND,13,2,6,24,11.54,4.45,7,19217,https://www.fantasypros.com/nfl/players/jonathan-taylor.php
ppr,FantasyPros ECR,2026,8/13,11,Drake London,WR,WR7,ATL,11,2,8,26,12.37,3.44,16,23163,https://www.fantasypros.com/nfl/players/drake-london.php
ppr,FantasyPros ECR,2026,8/13,12,A.J. Brown,WR,WR8,NE,11,3,8,35,15.16,5.63,21,18218,https://www.fantasypros.com/nfl/players/aj-brown.php
ppr,FantasyPros ECR,2026,8/13,13,Nico Collins,WR,WR9,HOU,8,3,11,36,16.41,4.19,27,20130,https://www.fantasypros.com/nfl/players/nico-collins.php
ppr,FantasyPros ECR,2026,8/13,14,Ashton Jeanty,RB,RB5,LV,13,3,7,39,17.27,5.71,10,25989,https://www.fantasypros.com/nfl/players/ashton-jeanty.php
ppr,FantasyPros ECR,2026,8/13,15,Chase Brown,RB,RB6,CIN,6,3,7,34,17.65,5.82,15,25324,https://www.fantasypros.com/nfl/players/chase-brown.php
ppr,FantasyPros ECR,2026,8/13,16,James Cook III,RB,RB7,BUF,7,3,7,34,18.62,7.09,9,22958,https://www.fantasypros.com/nfl/players/james-cook.php
ppr,FantasyPros ECR,2026,8/13,17,Trey McBride,TE,TE1,ARI,14,3,15,32,19.05,5.42,19,22936,https://www.fantasypros.com/nfl/players/trey-mcbride.php
ppr,FantasyPros ECR,2026,8/13,18,George Pickens,WR,WR10,DAL,14,3,12,40,19.83,5.48,23,22963,https://www.fantasypros.com/nfl/players/george-pickens.php
ppr,FantasyPros ECR,2026,8/13,19,Chris Olave,WR,WR11,NO,8,3,11,44,20.41,6.62,28,20111,https://www.fantasypros.com/nfl/players/chris-olave.php
ppr,FantasyPros ECR,2026,8/13,20,De'Von Achane,RB,RB8,MIA,6,3,10,33,20.46,6.22,11,23136,https://www.fantasypros.com/nfl/players/devon-achane.php
ppr,FantasyPros ECR,2026,8/13,21,Brock Bowers,TE,TE2,LV,13,3,11,32,20.67,3.39,22,22955,https://www.fantasypros.com/nfl/players/brock-bowers.php
ppr,FantasyPros ECR,2026,8/13,22,Rashee Rice,WR,WR12,KC,5,3,8,45,21.68,8.41,24,23113,https://www.fantasypros.com/nfl/players/rashee-rice.php
ppr,FantasyPros ECR,2026,8/13,23,DeVonta Smith,WR,WR13,PHI,10,4,11,48,24.52,8.14,34,19222,https://www.fantasypros.com/nfl/players/devonta-smith.php
ppr,FantasyPros ECR,2026,8/13,24,Omarion Hampton,RB,RB9,LAC,7,4,11,46,25.20,7.38,17,25395,https://www.fantasypros.com/nfl/players/omarion-hampton.php
ppr,FantasyPros ECR,2026,8/13,25,Josh Allen,QB,QB1,BUF,7,4,21,36,25.91,2.52,26,17298,https://www.fantasypros.com/nfl/players/josh-allen-qb.php
ppr,FantasyPros ECR,2026,8/13,26,Saquon Barkley,RB,RB10,PHI,10,4,10,41,26.57,7.33,14,17240,https://www.fantasypros.com/nfl/players/saquon-barkley.php
ppr,FantasyPros ECR,2026,8/13,27,Malik Nabers,WR,WR14,NYG,8,4,11,60,29.18,11.20,29,25409,https://www.fantasypros.com/nfl/players/malik-nabers.php
ppr,FantasyPros ECR,2026,8/13,28,Kenneth Walker III,RB,RB11,KC,5,4,14,56,29.70,9.51,20,23021,https://www.fantasypros.com/nfl/players/kenneth-walker-rb.php
ppr,FantasyPros ECR,2026,8/13,29,Zay Flowers,WR,WR15,BAL,13,4,14,48,29.80,8.09,35,22916,https://www.fantasypros.com/nfl/players/zay-flowers.php
ppr,FantasyPros ECR,2026,8/13,30,Garrett Wilson,WR,WR16,NYJ,13,4,15,46,30.59,7.18,39,23072,https://www.fantasypros.com/nfl/players/garrett-wilson.php
ppr,FantasyPros ECR,2026,8/13,31,Lamar Jackson,QB,QB2,BAL,13,4,25,59,32.62,9.38,42,17233,https://www.fantasypros.com/nfl/players/lamar-jackson.php
ppr,FantasyPros ECR,2026,8/13,32,Tetairoa McMillan,WR,WR17,CAR,5,4,14,46,33.22,7.83,36,25417,https://www.fantasypros.com/nfl/players/tetairoa-mcmillan.php
ppr,FantasyPros ECR,2026,8/13,33,Tee Higgins,WR,WR18,CIN,6,4,19,52,34.73,7.71,41,19211,https://www.fantasypros.com/nfl/players/tee-higgins.php
