Position Bucket,Display Rank,Player,Team,Bye Week,Floor,Points,Ceiling,SD,Uncertainty,VOR,Drop Off,Tier,Age,ADP,AAV,Rank - Overall,Rank - Position,ECR,Injury Status,Points Spread,Experience
QB,1,Josh Allen,BUF,7,344,354,378,14.7,1,64.8,36.8,1,30,18,36.2,24,1,1.03,,34,8
QB,2,Lamar Jackson,BAL,13,299,317,344,21.3,3,28.1,5.46,1,29,33.1,24.9,48,2,2.56,,45,8
QB,3,Jayden Daniels,WAS,7,291,312,333,18.7,19,22.6,0.0257,1,25,46.5,12.4,58,3,4.92,,42,2
QB,4,Jalen Hurts,PHI,10,296,312,327,13.6,8,22.6,5.42,1,28,51.9,13.5,59,4,5.88,,31,6
QB,5,Drake Maye,NE,11,298,306,322,10.7,6,17.2,5.46,1,23,57.8,16.1,71,5,3.61,,24,2
QB,6,Jaxson Dart,NYG,8,281,301,322,18.1,61,11.7,0.353,1,23,77.5,10.1,83,6,12,,41,1
QB,7,Joe Burrow,CIN,6,285,300,325,19.9,11,11.3,2.72,2,29,45.6,17.2,84,7,4.56,,40,6
QB,8,Caleb Williams,CHI,10,268,298,322,23.1,39,8.62,6.7,2,24,80.9,9.24,91,8,7.65,,54,2
QB,9,Dak Prescott,DAL,14,273,291,307,16,31,1.92,0.345,2,33,77.2,11.3,118,9,9.63,,34,10
QB,10,Trevor Lawrence,JAC,7,271,291,317,20.8,36,1.58,0.213,2,26,90.2,11,121,10,9.54,,46,5
QB,11,Bo Nix,DEN,10,265,290,317,22.1,50,1.37,0.314,2,26,93,6.1,124,11,13.4,,52,2
QB,12,Patrick Mahomes,KC,5,275,290,318,18.5,56,1.05,1.05,2,30,81.1,10.7,125,12,13.9,Q,43,9
QB,13,Justin Herbert,LAC,7,271,289,315,20.5,33,0,3.43,2,28,86,11.7,130,13,7.93,,44,6
QB,14,Matthew Stafford,LAR,11,272,286,311,16.3,81,-3.43,6.36,3,38,97.9,9.15,159,14,14.3,,39,17
QB,15,Matthew Stafford,LAR,11,272,286,311,16.3,81,-3.43,6.36,3,38,97.9,9.15,159,14,14.3,,39,17
QB,16,Brock Purdy,SF,8,266,279,292,10.8,25,-9.79,0.543,3,26,95.2,7.71,198,15,12.8,,26,4
QB,17,Jared Goff,DET,6,257,279,305,21.1,72,-10.3,10.5,3,31,110,6.35,204,16,15.5,,48,10
QB,18,Baker Mayfield,TB,10,244,268,295,23.8,44,-20.8,0.0292,3,31,115,6.89,326,17,18.5,,51,8
QB,19,Tyler Shough,NO,8,245,268,292,18.7,53,-20.8,8.25,4,26,129,3.88,329,18,19.3,,47,1
QB,20,Kyler Murray,MIN,6,234,260,290,21.8,67,-29.1,0.976,4,29,118,7.58,404,19,17.2,,56,7
QB,21,Jordan Love,GB,11,246,259,286,17.9,42,-30.1,11.4,4,27,130,4.14,410,20,18.5,,40,6
