Position Bucket,Display Rank,Player ID,Player,Team,Bye Week,Floor,Points,Ceiling,SD,Uncertainty,VOR,Drop Off,Tier,Age,ADP,AAV,Rank - Overall,Rank - Position,ECR,Injury Status,Points Spread,Experience
QB,1,13589,Josh Allen,BUF,7,344,354,378,14.8,1,67.1,36.9,1,30,18.8,35.7,23,1,1.03,,34,8
QB,2,13593,Lamar Jackson,BAL,13,299,317,344,21.4,8,30.2,2.75,1,29,32.1,23.7,46,2,2.75,,45,8
QB,3,14783,Jalen Hurts,PHI,10,302,314,332,14,22,27.5,1.99,1,27,52.7,13.9,49,3,6.13,,30,6
QB,4,16581,Jayden Daniels,WAS,7,291,312,333,18.6,31,25.5,6,1,25,46.6,15.7,52,4,5.6,,42,2
QB,5,16580,Drake Maye,NE,11,298,306,322,10.7,3,19.5,3.28,1,23,60.8,19.7,64,5,3.09,,24,2
QB,6,17032,Jaxson Dart,NYG,8,281,303,328,21.3,64,16.2,2.66,1,23,71.2,10.2,72,6,11.5,,47,1
QB,7,14777,Joe Burrow,CIN,6,284,300,325,20,17,13.5,5.85,2,29,44.4,17.7,78,7,4.48,,41,6
QB,8,16579,Caleb Williams,CHI,10,267,294,322,23.3,56,7.68,3.45,2,24,82.3,13.2,92,8,7.69,,55,2
QB,9,12620,Dak Prescott,DAL,14,272,291,307,16.1,36,4.24,0.613,2,33,85.8,14,107,9,9.81,Q,35,10
QB,10,16582,Bo Nix,DEN,10,265,290,317,22.1,39,3.62,0.275,2,26,91.9,8.33,110,10,13.3,Q,52,2
RB,1,,Jahmyr Gibbs,DET,6,290,298,313,10.7,1,170,8.26,1,24,3.03,61.5,1,1,1.56,,,
RB,2,,Bijan Robinson,ATL,11,269,290,314,20.8,30,162,21.8,2,24,2.34,57.9,2,2,1.62,,,
RB,3,,Jonathan Taylor,IND,13,246,268,288,17.3,15,140,7.49,2,27,11,50.7,3,3,3.97,,,
RB,4,,Christian McCaffrey,SF,8,248,261,271,8.97,1,132,16.9,3,30,8.09,55.7,4,4,4.29,,,
RB,5,,Derrick Henry,BAL,13,222,244,270,18.2,28,116,2.06,3,32,20.5,39,5,5,7.09,,,
RB,6,,James Cook,BUF,7,228,242,260,12.5,8,113,2.25,3,26,15.6,43.5,6,6,4.9,,,
RB,7,,Devon Achane,MIA,6,221,239,266,17.9,46,111,16.3,4,24,13.2,43.9,8,7,9.96,Q,,
RB,8,,Saquon Barkley,PHI,10,210,223,238,10.6,7,94.8,3.01,4,29,15.9,45.5,10,8,8.12,,,
RB,9,,Ashton Jeanty,LVR,13,205,220,247,18.3,39,91.8,1.26,4,22,13.6,46.4,12,9,7.74,,,
RB,10,,Josh Jacobs,GB,11,202,219,237,16.1,35,90.6,3.87,5,28,31.3,32,13,10,13.9,,,
WR,1,,Puka Nacua,LAR,11,221,233,243,8.43,1,112,10.4,1,25,5.9,52.9,7,1,2.1,,,
WR,2,,Ja'Marr Chase,CIN,6,212,222,236,12.2,5,101,8.6,1,26,5.82,60,9,2,1.32,,,
WR,3,,Jaxon Smith-Njigba,SEA,11,201,214,228,11,3,92.8,13.6,2,24,11.5,50.6,11,3,2.81,,,
WR,4,,Amon-Ra St. Brown,DET,6,197,200,203,2.97,1,79.2,21,3,26,11.5,50.5,16,4,4.13,,,
WR,5,,Drake London,ATL,11,154,179,221,27.4,69,58.3,5.18,4,25,19.6,37.3,26,5,8.48,Q,,
WR,6,,CeeDee Lamb,DAL,14,159,174,192,14,14,53.1,0.687,4,27,16.4,46.8,29,6,5.71,,,
WR,7,,Justin Jefferson,MIN,6,150,173,209,22.7,54,52.4,2.74,4,27,19.5,46.4,30,7,6.2,,,
WR,8,,George Pickens,DAL,14,152,171,198,22.9,57,49.7,3.12,4,25,35.5,28.8,32,8,9.81,,,
WR,9,,Rashee Rice,KC,5,153,168,197,20.2,64,46.6,1.7,4,26,37,28.6,34,9,14.4,Q,,
WR,10,,A.J. Brown,NE,11,143,166,187,18.2,42,44.9,2.07,4,29,27.3,31.5,36,10,8.74,,,
TE,1,,Trey McBride,ARI,14,144,158,172,13.1,31,57.1,11.3,1,26,25.8,35.1,27,1,2.25,,,
TE,2,,Brock Bowers,LVR,13,131,147,156,10.6,3,45.8,21.4,2,23,23.5,32.7,35,2,1.14,,,
TE,3,,Colston Loveland,CHI,10,114,125,147,13.6,40,24.4,9.13,3,22,57.5,20.2,54,3,3.43,,,
TE,4,,Harold Fannin,CLE,11,99.5,116,134,17,63,15.2,0.0753,3,22,68.2,9.65,73,4,7.51,Q,,
TE,5,,Tyler Warren,IND,13,102,116,129,10.1,14,15.1,2.43,3,24,60.4,16,74,5,4.82,,,
TE,6,,Kyle Pitts,ATL,11,104,114,134,12.6,43,12.7,1.8,3,25,79.4,9.57,81,6,8.05,,,
TE,7,,Mark Andrews,BAL,13,107,112,116,3.5,1,10.9,0.708,3,30,107,6.26,84,7,13.1,,,
TE,8,,Dallas Goedert,PHI,10,86.8,111,139,19.7,74,10.2,1.3,3,31,111,4.09,85,8,12.8,,,
